rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
116,frame_0133.jpg,53.2,0.402,0.304,0.1667,1.0,3,1,False,False
117,frame_0117.jpg,46.8,0.3987,0.4374,0.3333,0.4,5,2,False,False
118,frame_0131.jpg,52.4,0.3945,0.305,0.1667,0.96,4,1,False,False
119,frame_0225.jpg,90.0,0.3931,0.4542,0.5,0.08,6,3,False,False
120,frame_0385.jpg,154.0,0.3897,0.3994,0.5,0.2,6,3,False,False
121,frame_0373.jpg,149.2,0.3893,0.4146,0.5,0.16,7,3,False,False
122,frame_0093.jpg,37.2,0.3881,0.4802,0.3333,0.24,2,2,False,False
123,frame_0391.jpg,156.4,0.3849,0.4538,0.5,0.04,5,3,False,False
124,frame_0098.jpg,39.2,0.3827,0.3494,0.6667,0.04,5,4,False,False
125,frame_0314.jpg,125.6,0.3825,0.5331,0.3333,0.08,3,2,False,False
126,frame_0002.jpg,0.8,0.3817,0.2633,0.1667,1.0,6,1,False,False
127,frame_0309.jpg,123.6,0.3785,0.409,0.5,0.12,4,3,False,False
128,frame_0333.jpg,133.2,0.3772,0.5225,0.3333,0.08,7,2,False,False
129,frame_0027.jpg,10.8,0.3767,0.2534,0.1667,1.0,2,1,False,False
130,frame_0007.jpg,2.8,0.3761,0.2522,0.1667,1.0,4,1,False,False
131,frame_0088.jpg,35.2,0.375,0.3741,0.3333,0.44,3,2,False,False
132,frame_0108.jpg,43.2,0.3743,0.4327,0.5,0.04,5,3,False,False
133,frame_0167.jpg,66.8,0.3742,0.3085,0.3333,0.6,5,2,False,False
134,frame_0285.jpg,114.0,0.373,0.3061,0.3333,0.6,4,2,False,False
135,frame_0069.jpg,27.6,0.3726,0.2451,0.1667,1.0,5,1,False,False
136,frame_0125.jpg,50.0,0.3719,0.3558,0.1667,0.72,6,1,False,False
137,frame_0201.jpg,80.4,0.3707,0.3175,0.3333,0.56,4,2,False,False
138,frame_0003.jpg,1.2,0.3677,0.2354,0.1667,1.0,5,1,False,False
139,frame_0322.jpg,128.8,0.3669,0.3697,0.5,0.16,6,3,False,False
140,frame_0218.jpg,87.2,0.3656,0.4872,0.1667,0.36,2,1,False,False
141,frame_0320.jpg,128.0,0.36,0.4241,0.3333,0.24,6,2,False,False
142,frame_0214.jpg,85.6,0.3587,0.4093,0.1667,0.52,2,1,False,False
143,frame_0195.jpg,78.0,0.358,0.388,0.3333,0.32,2,2,False,False
144,frame_0301.jpg,120.4,0.3578,0.3397,0.3333,0.44,5,2,False,False
145,frame_0030.jpg,12.0,0.3558,0.2116,0.1667,1.0,6,1,False,False
146,frame_0328.jpg,131.2,0.3558,0.3797,0.5,0.08,7,3,False,False
147,frame_0280.jpg,112.0,0.3556,0.3513,0.3333,0.4,6,2,False,False
148,frame_0394.jpg,157.6,0.3549,0.4779,0.3333,0.08,3,2,False,False
149,frame_0185.jpg,74.0,0.3533,0.3745,0.5,0.08,5,3,False,False
150,frame_0111.jpg,44.4,0.3529,0.4419,0.3333,0.16,3,2,False,False
151,frame_0220.jpg,88.0,0.3521,0.3922,0.3333,0.28,2,2,False,False
152,frame_0390.jpg,156.0,0.352,0.372,0.5,0.08,5,3,False,False
153,frame_0115.jpg,46.0,0.3506,0.3732,0.3333,0.32,4,2,False,False
154,frame_0279.jpg,111.6,0.3504,0.4567,0.1667,0.36,5,1,False,False
155,frame_0399.jpg,159.6,0.3504,0.3889,0.3333,0.28,5,2,False,False
156,frame_0085.jpg,34.0,0.3499,0.3758,0.1667,0.56,1,1,False,False
157,frame_0118.jpg,47.2,0.3486,0.3213,0.3333,0.44,4,2,False,False
158,frame_0302.jpg,120.8,0.3479,0.4357,0.1667,0.4,6,1,False,False
159,frame_0303.jpg,121.2,0.3465,0.3491,0.3333,0.36,4,2,False,False
160,frame_0383.jpg,153.2,0.3453,0.5426,0.1667,0.12,2,1,False,False
161,frame_0024.jpg,9.6,0.3442,0.2884,0.0,1.0,1,0,False,False
162,frame_0388.jpg,155.2,0.3418,0.3196,0.5,0.16,7,3,False,False
163,frame_0317.jpg,126.8,0.3413,0.4026,0.3333,0.2,6,2,False,False
164,frame_0378.jpg,151.2,0.3396,0.4472,0.3333,0.08,8,2,False,False
165,frame_0171.jpg,68.4,0.3389,0.3019,0.3333,0.44,4,2,False,False
166,frame_0229.jpg,91.6,0.3385,0.3449,0.5,0.08,5,3,False,False
167,frame_0196.jpg,78.4,0.336,0.428,0.1667,0.36,2,1,False,False
168,frame_0096.jpg,38.4,0.333,0.4181,0.3333,0.12,5,2,False,False
169,frame_0189.jpg,75.6,0.3324,0.4329,0.3333,0.08,3,2,False,False
170,frame_0121.jpg,48.4,0.321,0.318,0.1667,0.56,4,1,False,False
171,frame_0104.jpg,41.6,0.3206,0.3932,0.3333,0.12,3,2,False,False
172,frame_0177.jpg,70.8,0.3204,0.3609,0.3333,0.2,6,2,False,False
173,frame_0316.jpg,126.4,0.3201,0.3763,0.3333,0.16,6,2,False,False
174,frame_0370.jpg,148.0,0.3181,0.3203,0.5,0.04,6,3,False,False
175,frame_0372.jpg,148.8,0.316,0.4839,0.1667,0.12,3,1,False,False
176,frame_0022.jpg,8.8,0.3146,0.2292,0.0,1.0,1,0,False,False
177,frame_0213.jpg,85.2,0.3145,0.3049,0.1667,0.56,2,1,False,False
178,frame_0198.jpg,79.2,0.3142,0.3523,0.1667,0.44,2,1,False,False
179,frame_0095.jpg,38.0,0.314,0.3641,0.3333,0.16,6,2,False,False
180,frame_0174.jpg,69.6,0.3116,0.2952,0.3333,0.32,5,2,False,False
181,frame_0091.jpg,36.4,0.3097,0.3914,0.1667,0.32,2,1,False,False
182,frame_0203.jpg,81.2,0.3084,0.2608,0.1667,0.64,4,1,False,False
183,frame_0092.jpg,36.8,0.308,0.4039,0.1667,0.28,2,1,False,False
184,frame_0101.jpg,40.4,0.3077,0.3835,0.3333,0.08,3,2,False,False
185,frame_0228.jpg,91.2,0.3075,0.399,0.3333,0.04,3,2,False,False
186,frame_0194.jpg,77.6,0.3073,0.4025,0.1667,0.28,2,1,False,False
187,frame_0269.jpg,107.6,0.3055,0.3951,0.3333,0.04,4,2,False,False
188,frame_0102.jpg,40.8,0.3045,0.461,0.1667,0.12,1,1,False,False
189,frame_0086.jpg,34.4,0.3042,0.3003,0.1667,0.52,2,1,False,False
190,frame_0271.jpg,108.4,0.3026,0.4891,0.1667,0.04,2,1,False,False
191,frame_0179.jpg,71.6,0.301,0.3541,0.3333,0.12,4,2,False,False
192,frame_0084.jpg,33.6,0.3004,0.2607,0.1667,0.6,2,1,False,False
193,frame_0313.jpg,125.2,0.2987,0.3815,0.3333,0.04,2,2,False,False
194,frame_0172.jpg,68.8,0.2979,0.2359,0.3333,0.4,4,2,False,False
195,frame_0211.jpg,84.4,0.2971,0.2382,0.1667,0.64,2,1,False,False
196,frame_0318.jpg,127.2,0.296,0.296,0.3333,0.24,6,2,False,False
197,frame_0080.jpg,32.0,0.2939,0.1838,0.1667,0.76,3,1,False,False
198,frame_0109.jpg,43.6,0.2936,0.3552,0.3333,0.08,6,2,False,False
199,frame_0267.jpg,106.8,0.2933,0.3386,0.3333,0.12,4,2,False,False
200,frame_0188.jpg,75.2,0.2916,0.3673,0.3333,0.04,6,2,False,False
201,frame_0132.jpg,52.8,0.2899,0.1798,0.0,1.0,5,0,False,False
202,frame_0299.jpg,119.6,0.2876,0.2671,0.1667,0.52,6,1,False,False
203,frame_0114.jpg,45.6,0.2871,0.2622,0.3333,0.28,7,2,False,False
204,frame_0282.jpg,112.8,0.2867,0.2814,0.1667,0.48,4,1,False,False
205,frame_0212.jpg,84.8,0.2864,0.2328,0.1667,0.6,2,1,False,False
206,frame_0197.jpg,78.8,0.2863,0.3126,0.1667,0.4,1,1,False,False
